Channel,Fiber distance (m),Northing (m),Easting (m),Depth (m)
504,515.8804,4263471.29,334647.86,-1324.35
505,516.9053,4263471.29,334647.89,-1323.32
506,517.9303,4263471.29,334647.93,-1322.3
507,518.9552,4263471.3,334647.96,-1321.27
508,519.9801,4263471.3,334648,-1320.25
509,521.005,4263471.31,334648.03,-1319.22
510,522.0299,4263471.31,334648.06,-1318.2
511,523.0548,4263471.31,334648.1,-1317.17
512,524.0797,4263471.31,334648.13,-1316.15
513,525.1046,4263471.31,334648.16,-1315.13
514,526.1295,4263471.32,334648.19,-1314.1
515,527.1544,4263471.32,334648.22,-1313.08
516,528.1793,4263471.32,334648.26,-1312.05
517,529.2042,4263471.32,334648.29,-1311.03
518,530.2291,4263471.32,334648.32,-1310
519,531.254,4263471.32,334648.36,-1308.98
520,532.2789,4263471.31,334648.39,-1307.95
521,533.3038,4263471.31,334648.42,-1306.93
522,534.3287,4263471.31,334648.46,-1305.91
523,535.3536,4263471.31,334648.49,-1304.88
524,536.3785,4263471.3,334648.53,-1303.86
525,537.4034,4263471.3,334648.56,-1302.83
526,538.4283,4263471.3,334648.6,-1301.81
527,539.4532,4263471.3,334648.63,-1300.79
528,540.4781,4263471.29,334648.67,-1299.76
529,541.503,4263471.29,334648.7,-1298.74
530,542.5279,4263471.29,334648.74,-1297.71
531,543.5528,4263471.29,334648.77,-1296.69
532,544.5777,4263471.28,334648.81,-1295.66
533,545.6027,4263471.28,334648.84,-1294.64
534,546.6276,4263471.28,334648.87,-1293.61
535,547.6525,4263471.28,334648.9,-1292.59
536,548.6774,4263471.28,334648.92,-1291.56
537,549.7023,4263471.28,334648.95,-1290.54
538,550.7272,4263471.28,334648.98,-1289.52
539,551.7521,4263471.28,334649,-1288.49
540,552.777,4263471.28,334649.03,-1287.47
541,553.8019,4263471.28,334649.05,-1286.44
542,554.8268,4263471.28,334649.07,-1285.42
543,555.8517,4263471.28,334649.08,-1284.39
544,556.8766,4263471.28,334649.1,-1283.37
545,557.9015,4263471.28,334649.11,-1282.34
546,558.9264,4263471.28,334649.13,-1281.32
547,559.9513,4263471.29,334649.15,-1280.29
548,560.9762,4263471.29,334649.16,-1279.27
549,562.0011,4263471.29,334649.17,-1278.24
550,563.026,4263471.29,334649.18,-1277.22
551,564.0509,4263471.29,334649.19,-1276.19
552,565.0758,4263471.29,334649.2,-1275.17
553,566.1007,4263471.29,334649.2,-1274.14
554,567.1256,4263471.29,334649.21,-1273.12
555,568.1505,4263471.29,334649.22,-1272.09
556,569.1754,4263471.29,334649.23,-1271.07
557,570.2003,4263471.29,334649.23,-1270.04
558,571.2252,4263471.29,334649.24,-1269.02
559,572.2502,4263471.29,334649.24,-1267.99
560,573.2751,4263471.29,334649.25,-1266.97
561,574.3,4263471.28,334649.26,-1265.94
562,575.3249,4263471.28,334649.26,-1264.92
563,576.3498,4263471.28,334649.27,-1263.89
564,577.3747,4263471.28,334649.27,-1262.87
565,578.3996,4263471.28,334649.27,-1261.84
566,579.4245,4263471.28,334649.27,-1260.82
567,580.4494,4263471.28,334649.28,-1259.79
568,581.4743,4263471.28,334649.28,-1258.77
569,582.4992,4263471.28,334649.28,-1257.74
570,583.5241,4263471.27,334649.28,-1256.72
571,584.549,4263471.27,334649.29,-1255.7
572,585.5739,4263471.27,334649.29,-1254.67
573,586.5988,4263471.27,334649.29,-1253.65
574,587.6237,4263471.26,334649.29,-1252.62
575,588.6486,4263471.26,334649.3,-1251.6
576,589.6735,4263471.26,334649.3,-1250.57
577,590.6984,4263471.25,334649.3,-1249.55
578,591.7233,4263471.25,334649.31,-1248.52
579,592.7482,4263471.25,334649.31,-1247.5
580,593.7731,4263471.25,334649.32,-1246.47
581,594.798,4263471.24,334649.33,-1245.45
582,595.8229,4263471.24,334649.33,-1244.42
583,596.8478,4263471.24,334649.34,-1243.4
584,597.8727,4263471.23,334649.35,-1242.37
585,598.8976,4263471.23,334649.35,-1241.35
586,599.9226,4263471.23,334649.36,-1240.32
587,600.9475,4263471.23,334649.37,-1239.3
588,601.9724,4263471.23,334649.38,-1238.27
589,602.9973,4263471.23,334649.39,-1237.25
590,604.0222,4263471.23,334649.4,-1236.22
591,605.0471,4263471.23,334649.41,-1235.2
592,606.072,4263471.24,334649.42,-1234.18
593,607.0969,4263471.24,334649.43,-1233.15
594,608.1218,4263471.24,334649.44,-1232.13
595,609.1467,4263471.25,334649.45,-1231.1
596,610.1716,4263471.25,334649.46,-1230.08
597,611.1965,4263471.25,334649.46,-1229.05
598,612.2214,4263471.26,334649.47,-1228.03
599,613.2463,4263471.26,334649.48,-1227
600,614.2712,4263471.27,334649.49,-1225.98
601,615.2961,4263471.27,334649.5,-1224.95
602,616.321,4263471.28,334649.5,-1223.93
603,617.3459,4263471.28,334649.51,-1222.9
604,618.3708,4263471.29,334649.51,-1221.88
605,619.3957,4263471.29,334649.52,-1220.85
606,620.4206,4263471.3,334649.53,-1219.83
607,621.4455,4263471.3,334649.53,-1218.8
608,622.4704,4263471.31,334649.53,-1217.78
609,623.4953,4263471.31,334649.54,-1216.75
610,624.5202,4263471.31,334649.54,-1215.73
611,625.5451,4263471.32,334649.54,-1214.7
612,626.5701,4263471.32,334649.54,-1213.68
613,627.595,4263471.33,334649.54,-1212.65
614,628.6199,4263471.33,334649.54,-1211.63
615,629.6448,4263471.33,334649.54,-1210.6
616,630.6697,4263471.33,334649.55,-1209.58
617,631.6946,4263471.33,334649.55,-1208.55
618,632.7195,4263471.33,334649.55,-1207.53
619,633.7444,4263471.33,334649.56,-1206.5
620,634.7693,4263471.33,334649.56,-1205.48
621,635.7942,4263471.33,334649.57,-1204.45
622,636.8191,4263471.33,334649.57,-1203.43
623,637.844,4263471.33,334649.58,-1202.4
624,638.8689,4263471.33,334649.59,-1201.38
625,639.8938,4263471.33,334649.6,-1200.35
626,640.9187,4263471.33,334649.6,-1199.33
627,641.9436,4263471.33,334649.61,-1198.3
628,642.9685,4263471.33,334649.62,-1197.28
629,643.9934,4263471.33,334649.63,-1196.25
630,645.0183,4263471.33,334649.64,-1195.23
631,646.0432,4263471.34,334649.64,-1194.2
632,647.0681,4263471.34,334649.65,-1193.18
633,648.093,4263471.34,334649.65,-1192.15
634,649.1179,4263471.35,334649.66,-1191.13
635,650.1428,4263471.35,334649.67,-1190.1
636,651.1677,4263471.35,334649.67,-1189.08
637,652.1926,4263471.36,334649.68,-1188.05
638,653.2176,4263471.36,334649.68,-1187.03
639,654.2425,4263471.36,334649.68,-1186
640,655.2674,4263471.36,334649.69,-1184.98
641,656.2923,4263471.36,334649.69,-1183.95
642,657.3172,4263471.36,334649.7,-1182.93
643,658.3421,4263471.36,334649.7,-1181.91
644,659.367,4263471.36,334649.7,-1180.88
645,660.3919,4263471.36,334649.71,-1179.86
646,661.4168,4263471.36,334649.72,-1178.83
647,662.4417,4263471.35,334649.73,-1177.81
648,663.4666,4263471.35,334649.74,-1176.78
649,664.4915,4263471.35,334649.74,-1175.76
650,665.5164,4263471.35,334649.75,-1174.73
651,666.5413,4263471.35,334649.76,-1173.71
652,667.5662,4263471.35,334649.77,-1172.68
653,668.5911,4263471.35,334649.78,-1171.66
654,669.616,4263471.35,334649.79,-1170.63
655,670.6409,4263471.35,334649.8,-1169.61
656,671.6658,4263471.35,334649.82,-1168.58
657,672.6907,4263471.35,334649.83,-1167.56
658,673.7156,4263471.35,334649.84,-1166.53
659,674.7405,4263471.35,334649.85,-1165.51
660,675.7654,4263471.35,334649.86,-1164.48
661,676.7903,4263471.36,334649.87,-1163.46
662,677.8152,4263471.36,334649.88,-1162.43
663,678.8401,4263471.36,334649.89,-1161.41
664,679.865,4263471.36,334649.9,-1160.38
665,680.89,4263471.37,334649.91,-1159.36
666,681.9149,4263471.37,334649.92,-1158.33
667,682.9398,4263471.37,334649.93,-1157.31
668,683.9647,4263471.38,334649.94,-1156.28
669,684.9896,4263471.38,334649.95,-1155.26
670,686.0145,4263471.38,334649.96,-1154.23
671,687.0394,4263471.38,334649.97,-1153.21
672,688.0643,4263471.38,334649.98,-1152.19
673,689.0892,4263471.39,334649.99,-1151.16
674,690.1141,4263471.39,334650,-1150.14
675,691.139,4263471.39,334650.01,-1149.11
676,692.1639,4263471.39,334650.02,-1148.09
677,693.1888,4263471.39,334650.03,-1147.06
678,694.2137,4263471.39,334650.04,-1146.04
679,695.2386,4263471.39,334650.05,-1145.01
680,696.2635,4263471.39,334650.06,-1143.99
681,697.2884,4263471.39,334650.07,-1142.96
682,698.3133,4263471.39,334650.08,-1141.94
